,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Borba,BR,84.92,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
2,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
3,Gizo,SB,82.76,overcast clouds,-8.103,156.8419,Imagination Island
4,San Cristobal,VE,82.58,few clouds,7.7669,-72.225,Pirineos
14,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
22,Hirara,JP,75.47,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
23,Coahuayana,MX,79.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
37,Vanimo,PG,78.21,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
39,Rayachoti,IN,75.52,overcast clouds,14.05,78.75,Swetha lodge
40,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
46,Banamba,ML,81.79,scattered clouds,13.55,-7.45,Kassela de Banamba
47,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Salalah,OM,77.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
51,Sierra Vista,US,84.31,few clouds,31.5545,-110.3037,Gateway Studio Suites
56,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
58,Lorengau,PG,83.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,San Rafael,AR,79.16,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
67,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
68,Ponta Delgada,PT,76.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
75,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
82,Atuona,PF,76.77,few clouds,-9.8,-139.0333,Villa Enata
83,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
93,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
95,Touros,BR,77.13,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
100,Tabou,CI,75.9,light rain,4.423,-7.3528,hotêl doufoulougou
104,Kiunga,PG,76.73,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
105,Port Blair,IN,80.83,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
106,Santa Rosa,PH,79.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
110,Saint George,US,85.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
113,Goiatuba,BR,79.7,clear sky,-18.0125,-49.3547,Hotel Barrocos
114,Sur,OM,78.78,clear sky,22.5667,59.5289,Sur Plaza Hotel
117,Kirakira,SB,81.73,scattered clouds,-10.4544,161.9205,SanBiz Lodge
118,Daru,PG,82.02,few clouds,-9.0763,143.2092,Daru Lodge
119,Samarai,PG,81.45,overcast clouds,-10.6167,150.6667,Nuli Sapi
123,Progreso,MX,88.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
124,Victoria,HK,83.32,clear sky,22.2855,114.1577,Mini Central
133,Santa Luzia,BR,83.48,few clouds,-19.7697,-43.8514,Pousada Chao Earth
136,Tautira,PF,76.39,light rain,-17.7333,-149.15,Pension Oaoa
137,Katsuura,JP,75.9,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
144,Sabang,ID,80.15,overcast clouds,5.8933,95.3214,Hotel Citra
148,Ascension,US,85.06,clear sky,30.2169,-90.9001,Highland Inn
153,Bonthe,SL,76.59,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
158,Hasaki,JP,76.21,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
159,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
166,Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
168,Mountain Home,US,75.13,few clouds,43.133,-115.6912,Mountain Home Inn
170,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
173,Mahina,PF,82.17,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
174,Harper,LR,75.79,moderate rain,4.375,-7.7169,Screensaver
176,Hobe Sound,US,82.98,broken clouds,27.0595,-80.1364,Floridays RV Park
182,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
189,Surat Thani,TH,80.19,overcast clouds,9.1667,99.25,Suankafae Resort
190,Butaritari,KI,81.57,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
205,Sola,VU,80.53,few clouds,-13.8833,167.55,Leumerus Bungalows
206,Lompoc,US,82.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
209,Sao Filipe,CV,79.68,light rain,14.8961,-24.4956,Hotel Xaguate
212,Biak,ID,76.17,broken clouds,-0.9131,122.8766,Penginapan Kim
213,Eydhafushi,MV,82.06,overcast clouds,5.1033,73.0708,Soneva Fushi
215,Bilma,NE,89.91,clear sky,18.6853,12.9164,Expeditions Ténére voyages
217,Alta Floresta,BR,81.68,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
220,Vila Franca Do Campo,PT,76.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
