City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mehamn,NO,71.0357,27.8492,40.95,93,75,4.61,light rain
1,Borba,BR,-4.3878,-59.5939,84.92,57,71,1.03,broken clouds
2,Hithadhoo,MV,-0.6,73.0833,81.82,70,100,15.17,overcast clouds
3,Gizo,SB,-8.103,156.8419,82.76,74,100,4.97,overcast clouds
4,San Cristobal,VE,7.7669,-72.225,82.58,61,18,4.21,few clouds
5,Wajima,JP,37.4,136.9,74.55,71,94,21.68,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,59.18,89,93,3.0,overcast clouds
7,Erzin,TR,36.9559,36.2,72.93,84,26,2.55,scattered clouds
8,Bay-Khaak,RU,51.1667,94.5,21.72,53,2,3.11,clear sky
9,Ambilobe,MG,-13.2,49.05,66.78,79,24,3.04,few clouds
10,Esperance,AU,-33.8667,121.9,57.04,89,100,11.81,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,50.49,51,100,8.81,overcast clouds
12,Barrow,US,71.2906,-156.7887,26.62,86,100,19.57,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,70.97,71,90,17.58,overcast clouds
14,Vaini,TO,-21.2,-175.2,78.96,83,75,13.8,broken clouds
15,Trzebnica,PL,51.3108,17.0633,52.32,90,30,13.69,scattered clouds
16,Saldanha,ZA,-33.0117,17.9442,51.85,77,0,8.05,clear sky
17,Hermanus,ZA,-34.4187,19.2345,53.8,77,1,8.79,clear sky
18,Vardo,NO,70.3705,31.1107,39.18,87,100,4.61,overcast clouds
19,Busselton,AU,-33.65,115.3333,47.41,81,0,9.95,clear sky
20,Nacala,MZ,-14.5428,40.6728,71.58,82,0,5.41,clear sky
21,Sitka,US,57.0531,-135.33,55.29,67,40,4.61,scattered clouds
22,Hirara,JP,24.8,125.2833,75.47,88,20,3.44,few clouds
23,Coahuayana,MX,18.7333,-103.6833,79.88,86,100,3.87,overcast clouds
24,Gimli,CA,50.6336,-96.9907,59.02,88,90,3.44,overcast clouds
25,Upington,ZA,-28.4478,21.2561,68.38,30,9,9.22,clear sky
26,Mitsamiouli,KM,-11.3847,43.2844,74.98,72,2,2.13,clear sky
27,Castro,BR,-24.7911,-50.0119,58.01,96,69,4.5,broken clouds
28,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,20,7.54,few clouds
29,Yellowknife,CA,62.456,-114.3525,48.72,61,75,10.36,broken clouds
30,Marsa Matruh,EG,31.3525,27.2453,73.6,64,0,9.22,clear sky
31,Gamba,GA,-2.65,10.0,76.24,85,82,5.75,broken clouds
32,Dikson,RU,73.5069,80.5464,31.87,99,100,6.89,snow
33,Bitung,ID,1.4451,125.1824,74.25,79,79,0.74,broken clouds
34,Mahebourg,MU,-20.4081,57.7,70.25,78,40,11.5,scattered clouds
35,Geraldton,AU,-28.7667,114.6,55.81,58,0,9.22,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,8.05,broken clouds
37,Vanimo,PG,-2.6741,141.3028,78.21,89,76,6.96,broken clouds
38,Ponta Do Sol,PT,32.6667,-17.1,71.71,72,25,2.57,scattered clouds
39,Rayachoti,IN,14.05,78.75,75.52,72,100,6.51,overcast clouds
40,Sakakah,SA,29.9697,40.2064,80.17,17,0,6.2,clear sky
41,Tazovskiy,RU,67.4667,78.7,37.35,97,100,17.0,light rain
42,Husavik,IS,66.0449,-17.3389,44.24,91,100,8.97,overcast clouds
43,Provideniya,RU,64.3833,-173.3,39.36,81,100,8.99,overcast clouds
44,Linxia,CN,35.6003,103.2064,47.43,65,98,2.44,overcast clouds
45,Wattens,AT,47.2722,11.5993,44.51,91,75,2.3,broken clouds
46,Banamba,ML,13.55,-7.45,81.79,57,29,6.53,scattered clouds
47,Kapaa,US,22.0752,-159.319,84.18,60,0,14.97,clear sky
48,Salalah,OM,17.0151,54.0924,77.09,83,40,2.3,scattered clouds
49,Airai,TL,-8.9266,125.4092,62.71,90,99,1.03,overcast clouds
50,Craigieburn,AU,-37.6,144.95,54.79,89,100,5.37,light rain
51,Sierra Vista,US,31.5545,-110.3037,84.31,27,20,9.22,few clouds
52,Abeokuta,NG,7.15,3.35,73.81,97,63,3.53,broken clouds
