City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Waingapu,-9.6567,120.2641,81.95,63,44,2.46,ID,2022-09-28 00:26:22
1,Port Lincoln,-34.7333,135.8667,53.51,65,100,11.9,AU,2022-09-28 00:23:06
2,Iquitos,-3.7481,-73.2472,84.24,65,75,5.75,PE,2022-09-28 00:26:33
3,Kamina,-8.7386,24.9906,72.66,54,85,3.49,CD,2022-09-28 00:26:38
4,Punta Arenas,-53.15,-70.9167,44.71,70,0,12.66,CL,2022-09-28 00:24:06
5,Busselton,-33.65,115.3333,56.25,82,48,9.15,AU,2022-09-28 00:26:48
6,Buala,-8.145,159.5921,84.42,62,98,9.95,SB,2022-09-28 00:26:59
7,Georgetown,5.4112,100.3354,81.9,86,20,3.44,MY,2022-09-28 00:26:57
8,Hilo,19.7297,-155.09,85.28,67,100,5.75,US,2022-09-28 00:27:09
9,Rawson,-43.3002,-65.1023,56.53,46,0,2.44,AR,2022-09-28 00:27:15
10,Smolenka,52.1352,113.4974,28.47,69,29,4.47,RU,2022-09-28 00:27:20
11,Atuona,-9.8,-139.0333,77.05,74,2,18.79,PF,2022-09-28 00:27:31
12,Kavaratti,10.5669,72.642,81.39,73,28,14.38,IN,2022-09-28 00:27:36
13,Ushuaia,-54.8,-68.3,44.26,76,75,26.46,AR,2022-09-28 00:27:42
14,Privolnyy,44.0998,46.6587,64.22,92,92,9.24,RU,2022-09-28 00:27:47
15,Kizukuri,40.8061,140.3861,70.52,81,100,5.7,JP,2022-09-28 00:27:52
16,Vanavara,60.34,102.2797,28.18,91,98,4.18,RU,2022-09-28 00:27:58
17,Kodiak,57.79,-152.4072,49.51,87,100,12.66,US,2022-09-28 00:26:20
18,Albany,42.6001,-73.9662,56.52,89,51,5.59,US,2022-09-28 00:21:56
19,Mataura,-46.1927,168.8643,64.0,55,43,3.13,NZ,2022-09-28 00:28:13
20,Richards Bay,-28.783,32.0377,70.07,93,21,7.11,ZA,2022-09-28 00:28:24
21,Port Alfred,-33.5906,26.891,66.18,99,100,5.99,ZA,2022-09-28 00:28:29
22,Kousseri,12.0769,15.0306,74.08,82,39,8.46,CM,2022-09-28 00:28:34
23,Lebu,-37.6167,-73.65,51.06,84,0,16.24,CL,2022-09-28 00:28:45
24,Mahebourg,-20.4081,57.7,70.25,67,68,11.56,MU,2022-09-28 00:28:50
25,Avarua,-21.2078,-159.775,78.85,89,20,9.22,CK,2022-09-28 00:28:56
26,Storsteinnes,69.2408,19.2344,42.39,78,13,4.92,NO,2022-09-28 00:29:01
27,Vao,-22.6667,167.4833,74.35,76,15,12.12,NC,2022-09-28 00:29:07
28,New Norfolk,-42.7826,147.0587,56.88,72,100,1.99,AU,2022-09-28 00:29:17
